# t_pr   N      a     H/m         f              df/m        energy_pr         E        epsilon       eta
# -----------------------------------------------------------------------------------------------------------------
0.000  0.000  1.000  1.94331  -4.8000000e+00  +0.0000000e+00  +1.133e+01  +1.000e+00  +0.000e+00  nan
0.002  0.004  1.004  1.94331  -4.8000000e+00  +4.3818478e-05  +1.124e+01  +1.000e+00  +2.542e-10  +5.116e+02
0.004  0.008  1.008  1.94331  -4.7999998e+00  +8.7128814e-05  +1.115e+01  +1.000e+00  +1.005e-09  +2.543e+02
0.006  0.012  1.012  1.94331  -4.7999996e+00  +1.2993671e-04  +1.107e+01  +1.000e+00  +2.235e-09  +1.685e+02
0.008  0.016  1.016  1.94331  -4.7999993e+00  +1.7224780e-04  +1.098e+01  +1.000e+00  +3.928e-09  +1.257e+02
0.010  0.019  1.020  1.94331  -4.7999989e+00  +2.1406766e-04  +1.090e+01  +1.000e+00  +6.067e-09  +9.994e+01
0.012  0.023  1.024  1.94331  -4.7999984e+00  +2.5540181e-04  +1.081e+01  +1.000e+00  +8.636e-09  +8.279e+01
0.014  0.027  1.028  1.94331  -4.7999979e+00  +2.9625568e-04  +1.073e+01  +1.000e+00  +1.162e-08  +7.055e+01
0.016  0.031  1.032  1.94331  -4.7999973e+00  +3.3663467e-04  +1.065e+01  +1.000e+00  +1.500e-08  +6.136e+01
0.018  0.035  1.036  1.94331  -4.7999966e+00  +3.7654411e-04  +1.056e+01  +1.000e+00  +1.877e-08  +5.422e+01
0.020  0.039  1.040  1.94331  -4.7999958e+00  +4.1598926e-04  +1.048e+01  +1.000e+00  +2.291e-08  +4.851e+01
0.022  0.043  1.044  1.94331  -4.7999949e+00  +4.5497534e-04  +1.040e+01  +1.000e+00  +2.741e-08  +4.384e+01
0.024  0.047  1.048  1.94331  -4.7999939e+00  +4.9350749e-04  +1.032e+01  +1.000e+00  +3.225e-08  +3.994e+01
0.026  0.051  1.052  1.94331  -4.7999929e+00  +5.3159080e-04  +1.024e+01  +1.000e+00  +3.741e-08  +3.665e+01
0.028  0.054  1.056  1.94331  -4.7999918e+00  +5.6923033e-04  +1.016e+01  +1.000e+00  +4.290e-08  +3.383e+01
0.030  0.058  1.060  1.94331  -4.7999906e+00  +6.0643103e-04  +1.008e+01  +1.000e+00  +4.869e-08  +3.138e+01
0.032  0.062  1.064  1.94331  -4.7999894e+00  +6.4319785e-04  +1.000e+01  +1.000e+00  +5.477e-08  +2.924e+01
0.034  0.066  1.068  1.94331  -4.7999881e+00  +6.7953564e-04  +9.927e+00  +1.000e+00  +6.114e-08  +2.736e+01
0.036  0.070  1.072  1.94331  -4.7999867e+00  +7.1544922e-04  +9.850e+00  +1.000e+00  +6.777e-08  +2.568e+01
0.038  0.074  1.077  1.94331  -4.7999852e+00  +7.5094335e-04  +9.774e+00  +1.000e+00  +7.466e-08  +2.418e+01
